,page,country,rev_id,quality,FIPS,Name,Type,TimeFrame,Data (M),Population
482,Julius Gregr,Czech Republic,395521877,Stub,,,,,,
483,Edvard Gregr,Czech Republic,395526568,Stub,,,,,,
484,Miroslav Poche,Czech Republic,672862914,Stub,,,,,,
485,Vojtěch Mynář,Czech Republic,673008587,Stub,,,,,,
486,Jan Malypetr,Czech Republic,704424304,Stub,,,,,,
487,Emanuel Moravec,Czech Republic,705080136,Start,,,,,,
488,Vladimír Hučín,Czech Republic,707597623,Start,,,,,,
489,Pavla Topolánková,Czech Republic,709676840,Start,,,,,,
490,Josef Barák,Czech Republic,711675761,Stub,,,,,,
491,Antonín Švehla,Czech Republic,712426548,Stub,,,,,,
492,Jakob Marzel Sternberger,Czech Republic,713698544,Stub,,,,,,
493,Alois Anderka,Czech Republic,714174726,Stub,,,,,,
494,Ivan Dejmal,Czech Republic,715467197,Start,,,,,,
495,Franz Macoun,Czech Republic,715640391,Stub,,,,,,
496,Karel Urbánek,Czech Republic,716711851,Stub,,,,,,
497,Vladimír Klokočka,Czech Republic,717429365,Start,,,,,,
498,Jaromír Jermář,Czech Republic,720027362,Stub,,,,,,
499,Artur London,Czech Republic,721736524,Start,,,,,,
500,František Sláma (politician),Czech Republic,722937211,Stub,,,,,,
501,Jan Kubice,Czech Republic,723151837,Stub,,,,,,
502,Kamil Jankovský,Czech Republic,723207013,Stub,,,,,,
503,Václav Vacek,Czech Republic,724691268,Stub,,,,,,
504,Čestmír Císař,Czech Republic,725362978,C,,,,,,
505,Luca Rovinalti,Czech Republic,726666131,Stub,,,,,,
506,Kamil Krofta,Czech Republic,726762194,Start,,,,,,
507,Milan Štěch,Czech Republic,728506208,Stub,,,,,,
508,Antonín Janoušek,Czech Republic,729912438,Stub,,,,,,
509,Bedřich Geminder,Czech Republic,730146355,Stub,,,,,,
510,Karel Domin,Czech Republic,735174171,Start,,,,,,
511,Hubert Ripka,Czech Republic,737562321,Start,,,,,,
512,Tomáš Eduard Šilinger,Czech Republic,741588720,Stub,,,,,,
513,Petr Janyška,Czech Republic,741798984,Stub,,,,,,
514,Jana Juřenčáková,Czech Republic,743423675,Stub,,,,,,
515,Jaromír Nečas,Czech Republic,744448745,Stub,,,,,,
516,Siegfried Taub,Czech Republic,744612257,Start,,,,,,
517,Záviš Kalandra,Czech Republic,746707985,Stub,,,,,,
518,Alois Rašín,Czech Republic,749575931,Start,,,,,,
519,Bedřich Reicin,Czech Republic,749945936,Start,,,,,,
