,page,country,rev_id,quality,Population
0,Bir I of Kanem,Chad,355319463,Stub,16877000
1,Abdullah II of Kanem,Chad,498683267,Stub,16877000
2,Salmama II of Kanem,Chad,565745353,Stub,16877000
3,Kuri I of Kanem,Chad,565745365,Stub,16877000
4,Mohammed I of Kanem,Chad,565745375,Stub,16877000
5,Kuri II of Kanem,Chad,669719757,Stub,16877000
6,Bir II of Kanem,Chad,670893206,Stub,16877000
7,Mahamat Hissene,Chad,693055898,Stub,16877000
8,Othman I,Chad,705432607,Stub,16877000
9,Alphonse Kotiga,Chad,707593108,Stub,16877000
10,Oueddei Kichidemi,Chad,708346649,Start,16877000
11,Dunama I,Chad,710675092,Stub,16877000
12,Ahmad (Kanem-Bornu king),Chad,711388267,Stub,16877000
13,Djibrine Kerallah,Chad,712971263,Stub,16877000
14,Maurice Ngangtar,Chad,712971315,Stub,16877000
15,Idriss Miskine,Chad,712971738,Stub,16877000
16,Laoukein Kourayo Médard,Chad,716886170,Stub,16877000
17,Nadji Madou,Chad,716886788,Stub,16877000
18,Noël Milarew Odingar,Chad,716891799,Start,16877000
19,Yaya Dillo Djérou,Chad,717733209,Stub,16877000
20,Acheikh Ibn-Oumar,Chad,719821590,Start,16877000
21,Quatre Sou Quatre,Chad,720066754,Stub,16877000
22,Ali Gazi,Chad,722563340,Stub,16877000
23,Mahamat Djarma Khatir,Chad,725132042,Stub,16877000
24,Dunama IX Lefiami,Chad,731749611,Stub,16877000
25,Dawud of Kanem,Chad,736550266,Stub,16877000
26,Ahmed Koulamallah,Chad,738855197,Start,16877000
27,Abbo Nassour,Chad,741369486,C,16877000
28,Abdel Kader Baba-Laddé,Chad,742213176,Stub,16877000
29,Hummay,Chad,747271475,Stub,16877000
30,Ngarlejy Yorongar,Chad,751304544,C,16877000
31,Saleh Kezabo,Chad,751380073,Stub,16877000
32,Bourkou Louise Kabo,Chad,757072468,Start,16877000
33,Brahim Koulamallah,Chad,757802238,Stub,16877000
34,Saadie Goukouni Weddeye,Chad,757842614,Start,16877000
35,Mahamoud Adam Béchir,Chad,762579466,Start,16877000
36,Djidingar Dono Ngardoum,Chad,764133533,Stub,16877000
37,Youssouf Saleh Abbas,Chad,771052289,C,16877000
38,Koibla Djimasta,Chad,774223245,Start,16877000
39,Nassour Guelendouksia Ouaido,Chad,774223248,C,16877000
40,Joseph Brahim Seid,Chad,777478442,Stub,16877000
41,Joseph Yodoyman,Chad,777550078,Start,16877000
42,Antoine Bangui,Chad,782638002,Start,16877000
43,Ibrahim IV of Bornu,Chad,785614014,Stub,16877000
44,Hadjé Halimé,Chad,786449636,C,16877000
45,Youssouf Togoïmi,Chad,787390241,Start,16877000
46,Adoum Younousmi,Chad,787719236,Start,16877000
47,François Tombalbaye,Chad,787738541,C,16877000
48,Ahmat Hassaballah Soubiane,Chad,787910771,Stub,16877000
49,Ahmad Allam-Mi,Chad,787921293,Start,16877000
50,Laotegguelnodji Koumtog,Chad,788009613,Stub,16877000
51,Mahamat Ali Adoum,Chad,788014671,Start,16877000
52,Mahamat Saleh Annadif,Chad,788658822,Start,16877000
53,Mohamed Bechir-Sow,Chad,788827248,Stub,16877000
54,Gontchomé Sahoulba,Chad,788828388,Start,16877000
55,Gabriel Lisette,Chad,788828519,Start,16877000
56,Ali II of Bornu,Chad,788999424,Stub,16877000
57,Arabi El Goni,Chad,789126126,Stub,16877000
58,Dunama Dabbalemi,Chad,789935196,Start,16877000
59,Idris Alooma,Chad,792734868,Start,16877000
60,Mahamat Nouri,Chad,792954115,B,16877000
61,Idriss Ndele Moussa,Chad,796654025,Stub,16877000
62,Mbaydoum Simeon,Chad,796690873,Stub,16877000
63,Ngarindo Milengar,Chad,796700718,Stub,16877000
64,List of Prime Ministers of Chad,Chad,797747674,Start,16877000
65,Idriss Déby,Chad,798286150,C,16877000
66,Saleh Kebzabo,Chad,798626040,C,16877000
67,Moussa Faki,Chad,799043301,C,16877000
68,Kalzeubet Pahimi Deubet,Chad,799413193,Stub,16877000
69,Haroun Kabadi,Chad,799447895,Start,16877000
70,Nagoum Yamassoum,Chad,799447995,Start,16877000
71,Outel Bono,Chad,799448338,Start,16877000
72,Ahmat Acyl,Chad,799902492,C,16877000
73,Djimrangar Dadnadji,Chad,800133552,Start,16877000
74,Delwa Kassiré Koumakoye,Chad,801029539,C,16877000
75,Fidèle Moungar,Chad,801192255,C,16877000
76,Jean Alingué Bawoyeu,Chad,801192303,B,16877000
77,Emmanuel Nadingar,Chad,801573576,C,16877000
78,Roger Djikisna,Chad,801583221,Stub,16877000
79,Firmin Djidingar,Chad,801583260,Stub,16877000
80,Idris I of Kanem,Chad,802874918,Stub,16877000
81,Vice President of Chad,Chad,803166509,Stub,16877000
82,Hissène Habré,Chad,803166806,GA,16877000
83,Negue Djogo,Chad,803166989,Start,16877000
84,Wadel Abdelkader Kamougué,Chad,803167152,C,16877000
85,Félix Malloum,Chad,803167336,Start,16877000
86,Lol Mahamat Choua,Chad,803167424,C,16877000
87,Goukouni Oueddei,Chad,803167990,C,16877000
88,Albert Pahimi Padacké,Chad,803433107,C,16877000
89,List of heads of state of Chad,Chad,803812011,Start,16877000
90,Elise Loum,Chad,804773540,Start,16877000
91,Agnes Allafi,Chad,805493169,Start,16877000
92,Christine Georges Diguibaye,Chad,806337653,Stub,16877000
93,Pascal Yoadimnadji,Chad,806508985,Start,16877000
94,Aissa Koli,Chad,806616268,Start,16877000
95,Omar I of Kanem,Chad,807425129,Start,16877000
96,Information Minister of the Palestinian National Authority,Palestinian Territory,393276188,Stub,5008000
97,Finance Minister of the Palestinian National Authority,Palestinian Territory,596181202,Start,5008000
98,Planning Minister of the Palestinian National Authority,Palestinian Territory,633612729,Start,5008000
99,Hossam Arafat (politician),Palestinian Territory,680933208,Stub,5008000
100,Tawfik Tirawi,Palestinian Territory,701106976,Start,5008000
101,Isam al-Qadi,Palestinian Territory,706650943,Stub,5008000
102,Hussein al-Araj,Palestinian Territory,707669406,Stub,5008000
103,Mohammad Barghouti,Palestinian Territory,708269321,Stub,5008000
104,Ahmed Khalidi,Palestinian Territory,708495719,Stub,5008000
105,Health Minister of the Palestinian National Authority,Palestinian Territory,708817890,Stub,5008000
106,Qais Abd al-Karim,Palestinian Territory,709529097,Stub,5008000
107,Mahmoud Aloul,Palestinian Territory,709567584,Stub,5008000
108,Victor Batarseh,Palestinian Territory,709994434,Stub,5008000
109,Hanna Nasser (academic),Palestinian Territory,710133339,Start,5008000
110,Anastas Hanania,Palestinian Territory,710390049,Start,5008000
111,Joudeh George Murqos,Palestinian Territory,710676772,Stub,5008000
112,Ali al-Sartawi,Palestinian Territory,710990363,Stub,5008000
113,Jamal Tirawi,Palestinian Territory,712310215,Start,5008000
114,Samir Abu Eisheh,Palestinian Territory,713203735,Stub,5008000
115,Sami Taha,Palestinian Territory,713505054,Start,5008000
116,Ayyub Musallam,Palestinian Territory,714176771,Stub,5008000
117,Hajj Essa Hamed,Palestinian Territory,714181175,Start,5008000
118,Hasan Tahboub,Palestinian Territory,714208891,Stub,5008000
119,Hanna Nasser,Palestinian Territory,714586856,Stub,5008000
120,Ghazi Hanania,Palestinian Territory,715125381,Stub,5008000
121,Amin Abd al-Hadi,Palestinian Territory,716425885,Stub,5008000
122,Samir Hulileh,Palestinian Territory,717174805,Start,5008000
123,Hatem Qafisha,Palestinian Territory,717350346,Stub,5008000
124,Nayef Rajoub,Palestinian Territory,717907429,Stub,5008000
125,Ghassan Shakaa,Palestinian Territory,720225559,Stub,5008000
126,Salim Zanoun,Palestinian Territory,720541817,Stub,5008000
127,Ahmad Bahar (Palestinian politician),Palestinian Territory,725592476,Stub,5008000
128,Umm Nidal,Palestinian Territory,729635985,C,5008000
129,Aref al-Dajani,Palestinian Territory,730565205,Start,5008000
130,Faed Mustafa,Palestinian Territory,730612889,Stub,5008000
131,Interior Minister of the Palestinian National Authority,Palestinian Territory,734366909,B,5008000
132,Samiha Khalil,Palestinian Territory,737316891,Start,5008000
133,Imil Jarjoui,Palestinian Territory,738485209,Stub,5008000
134,Abu Zakaria al-Jamal,Palestinian Territory,740251014,Stub,5008000
135,Mustafa al-Khalidi,Palestinian Territory,740562507,Stub,5008000
136,Samir Ghawshah,Palestinian Territory,741240899,Start,5008000
137,Fuad Kokaly,Palestinian Territory,742810698,Stub,5008000
138,Janet Mikhail,Palestinian Territory,742930612,Stub,5008000
139,Hind Khoury,Palestinian Territory,744229617,Stub,5008000
140,Saloum Cohen,Palestinian Territory,744680083,Stub,5008000
141,Ahmed Majdalani,Palestinian Territory,745445418,Start,5008000
142,Faidi al-Alami,Palestinian Territory,746561126,Stub,5008000
143,Arafat scarf,Palestinian Territory,752269980,Stub,5008000
144,Zuhir al-Qaisi,Palestinian Territory,754951299,C,5008000
145,Mohammed Shabir,Palestinian Territory,754960024,Start,5008000
146,Said Seyam,Palestinian Territory,755358806,C,5008000
147,Atef Adwan,Palestinian Territory,756834998,Start,5008000
148,Moussa Arafat,Palestinian Territory,756836183,Start,5008000
149,Khouloud Daibes,Palestinian Territory,757565638,Start,5008000
150,Nahid al-Rayyis,Palestinian Territory,759387598,Start,5008000
151,Rawhi Fattouh,Palestinian Territory,760357919,Start,5008000
152,Wasfi Kabha,Palestinian Territory,760375386,Stub,5008000
153,Omar Hammayil,Palestinian Territory,760380012,Stub,5008000
154,Mohammed Milhim,Palestinian Territory,760380700,Stub,5008000
155,Faisal Husseini,Palestinian Territory,765742925,Start,5008000
156,Haidar Abdel-Shafi,Palestinian Territory,766784372,Start,5008000
157,Nasser al-Shaer,Palestinian Territory,766840809,Start,5008000
158,Omar Abd al-Razaq,Palestinian Territory,766847361,Stub,5008000
159,Adnan al-Husayni,Palestinian Territory,767482479,Stub,5008000
160,Ziad Abu Amr,Palestinian Territory,767881055,Start,5008000
161,Ziad Abuzayyad,Palestinian Territory,768374386,Start,5008000
162,Azzam al-Ahmad,Palestinian Territory,769135700,Stub,5008000
163,Leila Shahid,Palestinian Territory,769328020,Start,5008000
164,Sharm El Sheikh Memorandum,Palestinian Territory,771217707,Start,5008000
165,Hussein al-Husayni,Palestinian Territory,773002344,Start,5008000
166,Riyad al-Maliki,Palestinian Territory,773227993,Start,5008000
167,Yasser Abed Rabbo,Palestinian Territory,774821388,C,5008000
168,Isra al-Modallal,Palestinian Territory,775535912,Start,5008000
169,Jamal Abu Samhadana,Palestinian Territory,775898615,C,5008000
170,Sufian Abu Zaida,Palestinian Territory,776289919,Start,5008000
171,Taysir Khalid,Palestinian Territory,776386870,Stub,5008000
172,Ibrahim Nassar,Palestinian Territory,776831011,Start,5008000
173,Anwar Khatib,Palestinian Territory,777026878,Start,5008000
174,Jamil Majdalawi,Palestinian Territory,779034357,Stub,5008000
175,Foreign Affairs Minister of the Palestinian National Authority,Palestinian Territory,779105366,Start,5008000
